The Last Airbender,2010,4.2,2.35,Action|Adventure|Family|Fantasy,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mission: Impossible III,2006,6.9,2.35,Action|Adventure|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
White House Down,2013,6.4,2.35,Action|Drama|Thriller,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Troy,2004,7.2,2.35,Adventure,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar 3: Europe's Most Wanted,2012,6.9,1.85,Adventure|Animation|Comedy|Family,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Armageddon,1998,6.6,2.35,Action|Adventure|Sci-Fi|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Men in Black II,2002,6.1,1.85,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
Beowulf,2007,6.3,2.35,Action|Adventure|Animation|Fantasy,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mission: Impossible - Ghost Protocol,2011,7.4,2.35,Action|Adventure|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rise of the Guardians,2012,7.3,1.85,Adventure|Animation|Family|Fantasy,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Fun with Dick and Jane,2005,6.1,2.35,Comedy|Crime,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Last Samurai,2003,7.7,2.35,Action|Drama|History|War,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Exodus: Gods and Kings,2014,6.1,2.35,Action|Adventure|Drama,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek,2009,8,2.35,Action|Adventure|Sci-Fi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Spider-Man,2002,7.3,1.85,Action|Adventure|Fantasy|Romance,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
How to Train Your Dragon 2,2014,7.9,2.35,Action|Adventure|Animation|Comedy|Family|Fantasy,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Watchmen,2009,7.7,2.35,Action|Drama|Mystery|Sci-Fi,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Lethal Weapon 4,1998,6.6,2.35,Action|Crime|Thriller,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hulk,2003,5.7,1.85,Action|Sci-Fi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
G.I. Joe: Retaliation,2013,5.8,2.35,Action|Adventure|Sci-Fi|Thriller,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
